timestamp,speed,steer,throttle,brake
1606,20.23,0.0,0.5,0
8411,22.16,0.0,0.5,0
9408,0.0,0.0,0.0,1
7531,18.0,0.0,1.0,0
6997,20.75,0.0,0.5,0
4671,19.51,0.0,1.0,0
9827,0.0,0.0,0.0,1
2729,22.12,0.0,0.5,0
8051,20.24,0.0,0.5,0
8422,21.01,0.0,0.5,0
8003,0.0,0.0,1.0,0
295,0.0,0.0,0.0,1
2524,0.0,0.0,1.0,0
8467,20.64,0.0,0.5,0
4409,0.0,0.0,0.0,1
2587,0.0,0.0,0.0,1
9397,0.0,0.0,0.0,1
2852,20.71,0.0,0.5,0
1828,19.52,0.0,0.0,1
2743,20.5,0.0,0.5,0
2073,22.7,0.0,0.5,0
8376,19.81,0.0,1.0,0
5549,20.95,0.0,0.5,0
9202,20.81,0.0,0.5,0
2098,21.13,0.0,0.5,0
3948,50.34,0.0,0.5,0
9947,0.0,0.0,0.0,1
8397,21.61,0.0,0.5,0
3015,0.0,0.0,1.0,0
9713,-0.01,0.0,0.0,1
3517,0.0,0.0,1.0,0
7536,26.53,0.0,0.5,0
9477,21.79,0.0,0.5,0
4432,0.0,0.0,0.0,1
9115,21.59,0.0,0.5,0
7315,22.89,0.0,0.5,0
4352,13.89,0.0,0.0,1
235,20.99,0.0,0.5,0
6026,0.0,0.0,1.0,0
4077,22.69,0.0,0.5,0
6558,0.0,0.0,0.0,1
9505,0.0,0.0,1.0,0
5630,-0.02,0.0,0.0,1
1143,31.12,0.0,1.0,0
7148,0.0,0.0,0.0,1
6034,25.18,0.0,0.5,0
8717,20.32,0.0,0.5,0
7246,0.0,0.0,0.0,1
9900,0.0,0.0,0.0,1
521,0.0,0.0,1.0,0
9885,0.0,0.0,0.0,1
7236,0.0,0.0,0.0,1
9434,0.0,0.0,0.0,1
7141,0.0,0.0,0.0,1
6566,0.0,0.0,0.0,1
3565,62.7,0.0,1.0,0
4389,0.0,0.0,0.0,1
9247,22.74,0.0,0.5,0
2881,20.89,0.0,0.5,0
1015,0.0,0.0,1.0,0
5611,0.0,0.0,0.0,1
3021,0.0,0.0,1.0,0
9339,0.0,0.0,0.0,1
8650,20.06,0.0,0.5,0
71,0.0,0.0,0.0,1
9309,0.0,0.0,0.0,1
8069,21.03,0.0,0.5,0
6616,0.0,0.0,0.0,1
8502,0.0,0.0,1.0,0
7977,0.0,0.0,0.0,1
8628,20.67,0.0,0.5,0
8180,0.0,0.0,0.0,1
2557,0.0,0.0,0.0,1
8332,19.73,0.0,1.0,0
9310,0.0,0.0,0.0,1
8226,0.0,0.0,0.0,1
9383,0.0,0.0,0.0,1
7265,0.0,0.0,0.0,1
9113,22.32,0.0,0.5,0
1667,20.78,0.0,0.5,0
5629,-0.02,0.0,0.0,1
535,28.12,0.0,1.0,0
9508,0.0,0.0,1.0,0
4361,-0.04,0.0,0.0,1
385,21.03,0.0,0.5,0
7436,0.0,0.0,0.0,1
2850,19.49,0.0,1.0,0
8151,0.0,0.0,0.0,1
228,20.66,0.0,0.5,0
8744,21.91,0.0,0.5,0
8553,19.69,0.0,1.0,0
9097,21.07,0.0,0.5,0
8254,0.0,0.0,0.0,1
4419,0.0,0.0,0.0,1
6005,0.0,0.0,1.0,0
8235,0.0,0.0,0.0,1
9353,0.0,0.0,0.0,1
4294,21.53,0.01,0.5,0
1259,21.6,0.01,0.5,0
6908,0.0,-0.01,0.0,1
7824,0.0,-0.01,0.0,1
7781,0.0,-0.01,0.0,1
1049,43.15,0.01,1.0,0
657,51.63,-0.01,0.5,0
8564,19.57,0.01,1.0,0
2182,21.76,0.01,0.5,0
450,21.79,-0.01,0.5,0
8895,0.0,-0.01,0.0,1
9193,22.14,-0.01,0.5,0
7672,0.0,-0.01,0.0,1
1622,22.11,0.01,0.5,0
6918,0.0,-0.01,0.0,1
5301,0.0,0.01,0.0,1
3572,68.75,-0.01,1.0,0
4477,22.78,0.01,0.0,1
7817,0.0,-0.01,0.0,1
8804,0.0,-0.01,0.0,1
8372,20.78,-0.01,0.5,0
7638,0.0,-0.01,0.0,1
8993,0.0,-0.01,0.0,1
1265,19.58,0.01,1.0,0
4789,0.0,0.01,0.0,1
8967,0.0,-0.01,0.0,1
7904,0.0,-0.01,0.0,1
3354,0.0,0.01,0.0,1
7365,19.74,-0.01,1.0,0
6493,20.13,-0.01,0.5,0
7480,20.58,0.01,0.5,0
6495,21.15,-0.01,0.5,0
8806,0.0,-0.01,0.0,1
8962,0.0,-0.01,0.0,1
5722,21.4,0.01,0.5,0
3915,48.69,0.01,1.0,0
2296,20.63,-0.01,0.5,0
5691,20.88,-0.01,0.5,0
7316,23.08,0.01,0.5,0
4220,19.63,-0.01,1.0,0
8060,20.56,0.01,0.5,0
3853,20.77,-0.01,0.5,0
3275,0.0,0.01,0.0,1
7876,0.0,-0.01,0.0,1
2484,20.05,0.01,0.5,0
6649,11.26,-0.01,1.0,0
9044,23.2,-0.01,0.5,0
6938,23.51,0.01,0.5,0
4821,0.0,0.01,0.0,1
2803,19.54,-0.01,1.0,0
3542,37.6,-0.01,1.0,0
6541,11.48,-0.01,0.0,1
8869,0.0,-0.01,0.0,1
3957,47.61,-0.01,1.0,0
6863,0.0,-0.01,0.0,1
1649,21.08,-0.01,0.5,0
6834,0.0,-0.01,0.0,1
6273,22.74,0.01,0.5,0
3640,80.74,-0.01,0.0,1
8952,0.0,-0.01,0.0,1
7084,20.09,-0.01,0.5,0
4780,0.0,0.01,0.0,1
6776,-0.11,-0.01,0.0,1
3333,0.0,0.01,0.0,1
4059,25.8,0.01,0.5,0
2291,20.76,0.01,0.5,0
8847,0.0,-0.01,0.0,1
4871,0.0,0.01,0.0,1
5532,20.98,-0.01,0.5,0
8388,19.97,0.01,1.0,0
4553,19.53,0.01,1.0,0
6282,19.67,0.01,1.0,0
7041,24.69,0.01,0.5,0
8537,26.47,-0.01,0.5,0
5241,0.0,0.01,0.0,1
7823,0.0,-0.01,0.0,1
4654,19.76,-0.01,1.0,0
3092,62.85,0.01,1.0,0
4303,21.95,-0.01,0.5,0
2379,21.5,0.01,0.5,0
5716,22.65,-0.01,0.5,0
1376,20.69,0.01,0.5,0
4134,22.74,-0.01,0.5,0
7375,21.8,0.01,0.5,0
4747,0.0,0.01,0.0,1
6494,20.83,-0.01,0.5,0
2189,20.0,0.01,0.5,0
4316,20.01,-0.01,0.5,0
4710,-0.04,0.01,0.0,1
6783,-0.01,-0.01,0.0,1
1659,22.81,-0.01,0.5,0
6818,0.0,-0.01,0.0,1
2531,17.95,-0.01,1.0,0
6910,0.0,-0.01,0.0,1
1141,36.12,-0.01,0.0,1
1158,18.43,0.01,1.0,0
7778,0.0,-0.01,0.0,1
8938,0.0,-0.01,0.0,1
8893,0.0,-0.01,0.0,1
2482,20.6,0.01,0.5,0
6401,22.74,0.01,0.5,0
8325,22.18,-0.01,0.5,0
4069,17.98,-0.01,1.0,0
4661,22.8,0.01,0.5,0
4631,21.06,0.01,0.5,0
7870,0.0,-0.01,0.0,1
8972,0.0,-0.01,0.0,1
7896,0.0,-0.01,0.0,1
6771,11.54,-0.01,0.0,1
4062,23.13,0.01,0.5,0
5170,20.62,0.01,1.0,0
5430,22.32,-0.01,0.5,0
9137,19.53,0.01,1.0,0
4548,21.26,-0.01,0.5,0
4117,22.13,0.01,0.5,0
2305,4.46,-0.01,1.0,0
6903,0.0,-0.01,0.0,1
5424,20.88,-0.01,0.5,0
3474,21.44,0.01,0.5,0
4258,21.71,0.01,0.5,0
1196,38.83,0.01,0.0,1
3264,0.0,0.01,0.0,1
3139,56.83,-0.01,0.0,1
9248,22.91,0.01,0.5,0
1451,0.0,0.01,0.0,1
9607,80.95,-0.01,0.5,0
6952,20.05,0.01,0.5,0
3420,0.0,0.01,0.0,1
3570,66.2,-0.01,1.0,0
6249,20.07,-0.01,0.5,0
8751,19.5,-0.01,1.0,0
4083,20.9,0.01,0.5,0
7385,21.02,-0.01,0.5,0
6315,23.17,-0.01,1.0,0
6426,20.38,-0.01,0.5,0
8977,0.0,-0.01,0.0,1
7839,0.0,-0.01,0.0,1
2702,20.3,-0.01,0.5,0
5183,34.41,-0.01,1.0,0
6233,20.14,0.01,0.5,0
5274,0.0,0.01,0.0,1
3309,0.0,0.01,0.0,1
2895,21.91,0.01,0.5,0
7670,0.0,-0.01,0.0,1
2156,19.78,0.01,1.0,0
989,12.97,0.01,1.0,0
6306,22.48,-0.01,0.5,0
8965,0.0,-0.01,0.0,1
5649,6.98,-0.01,0.0,1
1233,37.13,0.01,1.0,0
8802,0.0,-0.01,0.0,1
5203,20.55,-0.01,0.0,1
6905,0.0,-0.01,0.0,1
8912,0.0,-0.01,0.0,1
313,14.81,0.01,1.0,0
4095,20.32,-0.01,0.5,0
6086,20.9,0.01,0.5,0
7309,15.46,0.01,1.0,0
9133,20.76,0.01,0.5,0
6773,4.92,-0.01,0.0,1
7935,0.0,-0.01,0.0,1
9270,21.08,0.01,0.5,0
7889,0.0,-0.01,0.0,1
9076,22.44,-0.01,0.5,0
1835,13.61,-0.01,0.0,1
7307,15.37,0.01,1.0,0
4822,0.0,0.01,0.0,1
2834,19.69,-0.01,1.0,0
5254,0.0,0.01,0.0,1
4752,0.0,0.01,0.0,1
1432,15.98,0.01,0.0,1
7950,0.0,-0.01,0.0,1
6128,21.1,0.01,0.5,0
263,21.23,-0.01,0.5,0
6795,0.0,-0.01,0.0,1
3882,46.21,-0.01,1.0,0
8475,20.91,0.01,0.5,0
2647,7.76,-0.01,1.0,0
8995,0.0,-0.01,0.0,1
4849,0.0,0.01,0.0,1
2369,19.57,0.01,1.0,0
7743,0.0,-0.01,0.0,1
7770,0.0,-0.01,0.0,1
8444,22.98,0.01,0.5,0
3236,-0.03,0.01,0.0,1
3308,0.0,0.01,0.0,1
2273,21.77,-0.01,0.5,0
243,20.74,0.01,0.5,0
2446,20.36,0.01,0.5,0
3302,0.0,0.01,0.0,1
7108,21.05,-0.01,0.0,1
556,55.28,0.01,1.0,0
1031,17.91,-0.01,1.0,0
